OA Code,Ward Name,LA Name,Region Name,QS701EW0010,QS701EW0001 (base),OA Percentage
E00116589,Hayling West,Havant,South East,5,224,2.2300,
E00116582,Hayling West,Havant,South East,3,229,1.3100,
E00116591,Hayling West,Havant,South East,6,206,2.9100,
E00116580,Hayling West,Havant,South East,4,176,2.2700,
E00116583,Hayling West,Havant,South East,9,218,4.1300,
E00116572,Hayling West,Havant,South East,3,244,1.2300,
E00116599,Hayling West,Havant,South East,2,229,0.8700,
E00116577,Hayling West,Havant,South East,2,279,0.7200,
E00116595,Hayling West,Havant,South East,1,112,0.8900,
E00116597,Hayling West,Havant,South East,2,129,1.5500,
E00116584,Hayling West,Havant,South East,3,243,1.2300,
E00116586,Hayling West,Havant,South East,4,234,1.7100,
E00116598,Hayling West,Havant,South East,4,185,2.1600,
E00116571,Hayling West,Havant,South East,1,190,0.5300,
E00116575,Hayling West,Havant,South East,6,218,2.7500,
E00116408,Bedhampton,Havant,South East,3,252,1.1900,
E00115754,Stubbington,Fareham,South East,9,244,3.6900,
E00116585,Hayling West,Havant,South East,5,176,2.8400,
E00116593,Hayling West,Havant,South East,7,186,3.7600,
E00116579,Hayling West,Havant,South East,6,217,2.7600,
E00116592,Hayling West,Havant,South East,4,220,1.8200,
E00116594,Hayling West,Havant,South East,1,157,0.6400,
E00116587,Hayling West,Havant,South East,7,202,3.4700,
E00116578,Hayling West,Havant,South East,3,254,1.1800,
E00116588,Hayling West,Havant,South East,2,192,1.0400,
E00116581,Hayling West,Havant,South East,7,211,3.3200,
E00116596,Hayling West,Havant,South East,1,173,0.5800,
E00116590,Hayling West,Havant,South East,5,203,2.4600,
E00116573,Hayling West,Havant,South East,5,189,2.6500,
E00116576,Hayling West,Havant,South East,1,232,0.4300,
E00168140,Lee East,Gosport,South East,17,235,7.2300,
E00116039,Peel Common,Gosport,South East,9,178,5.0600,
E00115961,Grange,Gosport,South East,16,245,6.5300,
E00168141,Lee East,Gosport,South East,14,268,5.2200,
E00115958,Grange,Gosport,South East,14,233,6.0100,
E00115973,Grange,Gosport,South East,9,205,4.3900,
E00115970,Grange,Gosport,South East,7,178,3.9300,
E00168150,Hardway,Gosport,South East,16,234,6.8400,
E00168139,Lee East,Gosport,South East,15,220,6.8200,
E00116022,Leesland,Gosport,South East,18,244,7.3800,
E00116025,Leesland,Gosport,South East,6,107,5.6100,
E00115997,Lee East,Gosport,South East,10,170,5.8800,
E00115906,Brockhurst,Gosport,South East,15,206,7.2800,
E00115916,Christchurch,Gosport,South East,27,257,10.5100,
E00115865,Anglesey,Gosport,South East,14,287,4.8800,
E00116048,Privett,Gosport,South East,16,210,7.6200,
E00115987,Hardway,Gosport,South East,15,225,6.6700,
E00115892,Bridgemary South,Gosport,South East,16,268,5.9700,
E00115900,Brockhurst,Gosport,South East,17,254,6.6900,
E00115897,Brockhurst,Gosport,South East,19,219,8.6800,
E00115884,Bridgemary South,Gosport,South East,14,205,6.8300,
E00116049,Privett,Gosport,South East,16,210,7.6200,
E00115848,Alverstoke,Gosport,South East,10,164,6.1000,
E00115976,Hardway,Gosport,South East,22,232,9.4800,
E00116054,Privett,Gosport,South East,12,184,6.5200,
E00116080,Town,Gosport,South East,14,194,7.2200,
E00116056,Privett,Gosport,South East,13,158,8.2300,
E00116038,Peel Common,Gosport,South East,12,177,6.7800,
E00115944,Forton,Gosport,South East,22,226,9.7300,
E00115864,Anglesey,Gosport,South East,30,235,12.7700,
E00116033,Peel Common,Gosport,South East,12,238,5.0400,
E00115857,Anglesey,Gosport,South East,20,212,9.4300,
E00116015,Leesland,Gosport,South East,31,280,11.0700,
E00168149,Hardway,Gosport,South East,19,209,9.0900,
E00116013,Lee West,Gosport,South East,16,223,7.1700,
E00115980,Hardway,Gosport,South East,21,284,7.3900,
E00115901,Brockhurst,Gosport,South East,23,227,10.1300,
E00115982,Hardway,Gosport,South East,22,227,9.6900,
E00115903,Brockhurst,Gosport,South East,18,235,7.6600,
E00168147,Hardway,Gosport,South East,22,268,8.2100,
E00115913,Brockhurst,Gosport,South East,12,176,6.8200,
E00168136,Lee East,Gosport,South East,17,244,6.9700,
E00116018,Leesland,Gosport,South East,24,213,11.2700,
E00115862,Anglesey,Gosport,South East,22,195,11.2800,
E00116078,Town,Gosport,South East,4,152,2.6300,
E00115887,Bridgemary South,Gosport,South East,22,223,9.8700,
E00115886,Bridgemary South,Gosport,South East,14,214,6.5400,
E00115931,Elson,Gosport,South East,15,230,6.5200,
E00168152,Grange,Gosport,South East,7,112,6.2500,
E00115933,Elson,Gosport,South East,15,215,6.9800,
E00116062,Rowner and Holbrook,Gosport,South East,24,222,10.8100,
E00115936,Elson,Gosport,South East,21,232,9.0500,
E00168137,Lee East,Gosport,South East,9,233,3.8600,
E00116028,Leesland,Gosport,South East,30,218,13.7600,
E00115891,Bridgemary South,Gosport,South East,13,237,5.4900,
E00116065,Rowner and Holbrook,Gosport,South East,20,222,9.0100,
E00116060,Rowner and Holbrook,Gosport,South East,10,204,4.9000,
E00116036,Peel Common,Gosport,South East,12,253,4.7400,
E00115866,Anglesey,Gosport,South East,23,233,9.8700,
E00115947,Forton,Gosport,South East,18,256,7.0300,
E00115953,Forton,Gosport,South East,7,136,5.1500,
E00168122,Christchurch,Gosport,South East,8,186,4.3000,
E00116046,Privett,Gosport,South East,19,222,8.5600,
E00116045,Peel Common,Gosport,South East,22,208,10.5800,
E00116031,Peel Common,Gosport,South East,11,183,6.0100,
E00116063,Rowner and Holbrook,Gosport,South East,33,230,14.3500,
E00115934,Elson,Gosport,South East,19,246,7.7200,
E00115968,Grange,Gosport,South East,21,246,8.5400,
E00115969,Grange,Gosport,South East,17,263,6.4600,
E00115856,Anglesey,Gosport,South East,27,264,10.2300,
E00116041,Peel Common,Gosport,South East,14,187,7.4900,
E00115908,Brockhurst,Gosport,South East,13,213,6.1000,
E00116067,Rowner and Holbrook,Gosport,South East,33,245,13.4700,
E00168138,Lee East,Gosport,South East,12,198,6.0600,
E00116019,Leesland,Gosport,South East,11,177,6.2100,
E00115928,Elson,Gosport,South East,26,261,9.9600,
E00115896,Bridgemary South,Gosport,South East,8,204,3.9200,
E00116061,Rowner and Holbrook,Gosport,South East,15,261,5.7500,
E00115967,Grange,Gosport,South East,34,359,9.4700,
E00115945,Forton,Gosport,South East,13,222,5.8600,
E00116040,Peel Common,Gosport,South East,20,240,8.3300,
E00168143,Lee West,Gosport,South East,45,290,15.5200,
E00115989,Lee East,Gosport,South East,13,376,3.4600,
E00168130,Town,Gosport,South East,14,214,6.5400,
E00115846,Alverstoke,Gosport,South East,25,215,11.6300,
E00116058,Privett,Gosport,South East,22,293,7.5100,
E00115855,Anglesey,Gosport,South East,26,299,8.7000,
E00115905,Brockhurst,Gosport,South East,14,203,6.9000,
E00115909,Brockhurst,Gosport,South East,28,313,8.9500,
E00115988,Hardway,Gosport,South East,24,249,9.6400,
E00116032,Peel Common,Gosport,South East,12,243,4.9400,
E00115852,Alverstoke,Gosport,South East,11,179,6.1500,
E00115895,Bridgemary South,Gosport,South East,9,149,6.0400,
E00168142,Lee West,Gosport,South East,6,214,2.8000,
E00116068,Rowner and Holbrook,Gosport,South East,16,154,10.3900,
E00116034,Peel Common,Gosport,South East,6,172,3.4900,
E00115977,Hardway,Gosport,South East,31,274,11.3100,
E00115984,Hardway,Gosport,South East,30,255,11.7600,
E00116047,Privett,Gosport,South East,14,194,7.2200,
E00115929,Elson,Gosport,South East,19,232,8.1900,
E00115849,Alverstoke,Gosport,South East,13,185,7.0300,
E00115975,Grange,Gosport,South East,12,214,5.6100,
E00116088,Town,Gosport,South East,21,190,11.0500,
E00115847,Alverstoke,Gosport,South East,16,162,9.8800,
E00116009,Lee West,Gosport,South East,7,179,3.9100,
E00168132,Christchurch,Gosport,South East,12,185,6.4900,
E00115907,Brockhurst,Gosport,South East,14,201,6.9700,
E00115986,Hardway,Gosport,South East,29,232,12.5000,
E00116059,Privett,Gosport,South East,9,223,4.0400,
E00116008,Lee West,Gosport,South East,7,212,3.3000,
E00116089,Town,Gosport,South East,31,215,14.4200,
E00115965,Grange,Gosport,South East,15,180,8.3300,
E00116072,Rowner and Holbrook,Gosport,South East,25,268,9.3300,
E00116016,Leesland,Gosport,South East,23,241,9.5400,
E00116027,Leesland,Gosport,South East,19,241,7.8800,
E00115998,Lee East,Gosport,South East,23,269,8.5500,
E00115851,Alverstoke,Gosport,South East,12,155,7.7400,
E00115919,Christchurch,Gosport,South East,9,174,5.1700,
E00116029,Leesland,Gosport,South East,18,206,8.7400,
E00115996,Lee East,Gosport,South East,6,109,5.5000,
E00115917,Christchurch,Gosport,South East,22,225,9.7800,
E00116050,Privett,Gosport,South East,28,270,10.3700,
E00116077,Town,Gosport,South East,8,208,3.8500,
E00115912,Brockhurst,Gosport,South East,18,171,10.5300,
E00116079,Town,Gosport,South East,8,152,5.2600,
E00115993,Lee East,Gosport,South East,15,225,6.6700,
E00116055,Privett,Gosport,South East,11,225,4.8900,
E00116026,Leesland,Gosport,South East,20,236,8.4700,
E00115885,Bridgemary South,Gosport,South East,19,224,8.4800,
E00115926,Christchurch,Gosport,South East,17,282,6.0300,
E00116012,Lee West,Gosport,South East,9,197,4.5700,
E00115854,Alverstoke,Gosport,South East,17,218,7.8000,
E00115925,Christchurch,Gosport,South East,29,267,10.8600,
E00116086,Town,Gosport,South East,11,163,6.7500,
E00116007,Lee West,Gosport,South East,0,111,0.0000,
E00168128,Hardway,Gosport,South East,21,225,9.3300,
E00116043,Peel Common,Gosport,South East,16,231,6.9300,
E00115853,Alverstoke,Gosport,South East,9,171,5.2600,
E00115850,Alverstoke,Gosport,South East,12,173,6.9400,
E00168124,Town,Gosport,South East,15,193,7.7700,
E00115899,Brockhurst,Gosport,South East,6,167,3.5900,
E00115950,Forton,Gosport,South East,20,205,9.7600,
E00115938,Elson,Gosport,South East,23,237,9.7000,
E00115935,Elson,Gosport,South East,17,229,7.4200,
E00116051,Privett,Gosport,South East,17,208,8.1700,
E00115930,Elson,Gosport,South East,12,224,5.3600,
E00116064,Rowner and Holbrook,Gosport,South East,12,197,6.0900,
E00115955,Forton,Gosport,South East,9,183,4.9200,
E00115951,Forton,Gosport,South East,21,231,9.0900,
E00115859,Anglesey,Gosport,South East,16,177,9.0400,
E00115954,Forton,Gosport,South East,34,359,9.4700,
E00168145,Lee East,Gosport,South East,13,272,4.7800,
E00116037,Peel Common,Gosport,South East,13,169,7.6900,
E00115927,Christchurch,Gosport,South East,27,241,11.2000,
E00115845,Alverstoke,Gosport,South East,19,215,8.8400,
E00115860,Anglesey,Gosport,South East,9,189,4.7600,
E00115995,Lee East,Gosport,South East,8,216,3.7000,
E00168151,Grange,Gosport,South East,23,309,7.4400,
E00115948,Forton,Gosport,South East,16,249,6.4300,
E00116081,Town,Gosport,South East,5,121,4.1300,
E00115941,Elson,Gosport,South East,8,172,4.6500,
E00116044,Peel Common,Gosport,South East,14,213,6.5700,
E00115922,Christchurch,Gosport,South East,21,230,9.1300,
E00116087,Town,Gosport,South East,12,206,5.8300,
E00115991,Lee East,Gosport,South East,12,173,6.9400,
E00116042,Peel Common,Gosport,South East,9,195,4.6200,
E00116076,Town,Gosport,South East,2,207,0.9700,
E00115883,Bridgemary South,Gosport,South East,4,177,2.2600,
E00116017,Leesland,Gosport,South East,8,164,4.8800,
E00115898,Brockhurst,Gosport,South East,20,184,10.8700,
E00115840,Alverstoke,Gosport,South East,15,228,6.5800,
E00116083,Town,Gosport,South East,18,241,7.4700,
E00116082,Town,Gosport,South East,9,234,3.8500,
E00116003,Lee West,Gosport,South East,14,222,6.3100,
E00115894,Bridgemary South,Gosport,South East,19,245,7.7600,
E00115949,Forton,Gosport,South East,22,243,9.0500,
E00168133,Christchurch,Gosport,South East,25,188,13.3000,
E00115963,Grange,Gosport,South East,9,230,3.9100,
E00115893,Bridgemary South,Gosport,South East,20,297,6.7300,
E00115914,Brockhurst,Gosport,South East,18,177,10.1700,
E00116071,Rowner and Holbrook,Gosport,South East,31,238,13.0300,
E00115910,Brockhurst,Gosport,South East,11,201,5.4700,
E00116000,Lee West,Gosport,South East,10,261,3.8300,
E00115992,Lee East,Gosport,South East,5,175,2.8600,
E00115971,Grange,Gosport,South East,20,239,8.3700,
E00116005,Lee West,Gosport,South East,7,165,4.2400,
E00116084,Town,Gosport,South East,15,185,8.1100,
E00115990,Lee East,Gosport,South East,3,195,1.5400,
E00115911,Brockhurst,Gosport,South East,26,210,12.3800,
E00115972,Grange,Gosport,South East,26,314,8.2800,
E00115964,Grange,Gosport,South East,3,84,3.5700,
E00115904,Brockhurst,Gosport,South East,11,228,4.8200,
E00115985,Hardway,Gosport,South East,15,207,7.2500,
E00115974,Grange,Gosport,South East,17,256,6.6400,
E00115844,Alverstoke,Gosport,South East,17,210,8.1000,
E00115940,Elson,Gosport,South East,27,295,9.1500,
E00168134,Town,Gosport,South East,11,180,6.1100,
E00116070,Rowner and Holbrook,Gosport,South East,16,211,7.5800,
E00116052,Privett,Gosport,South East,15,187,8.0200,
E00115861,Anglesey,Gosport,South East,18,172,10.4700,
E00116023,Leesland,Gosport,South East,25,254,9.8400,
E00115939,Elson,Gosport,South East,20,263,7.6000,
E00115863,Anglesey,Gosport,South East,11,195,5.6400,
E00115924,Christchurch,Gosport,South East,14,258,5.4300,
E00115915,Christchurch,Gosport,South East,21,239,8.7900,
E00115920,Christchurch,Gosport,South East,20,241,8.3000,
E00168131,Hardway,Gosport,South East,18,188,9.5700,
E00115994,Lee East,Gosport,South East,10,201,4.9800,
E00115882,Bridgemary South,Gosport,South East,22,326,6.7500,
E00116021,Leesland,Gosport,South East,23,290,7.9300,
E00115952,Forton,Gosport,South East,25,228,10.9600,
E00168129,Town,Gosport,South East,10,178,5.6200,
E00115858,Anglesey,Gosport,South East,25,232,10.7800,
E00115843,Alverstoke,Gosport,South East,14,158,8.8600,
E00116074,Rowner and Holbrook,Gosport,South East,12,226,5.3100,
E00168125,Town,Gosport,South East,10,172,5.8100,
E00168148,Hardway,Gosport,South East,23,283,8.1300,
E00168146,Christchurch,Gosport,South East,24,222,10.8100,
E00115942,Elson,Gosport,South East,15,151,9.9300,
E00168127,Town,Gosport,South East,6,141,4.2600,
E00168123,Christchurch,Gosport,South East,23,208,11.0600,
E00116053,Privett,Gosport,South East,17,176,9.6600,
E00116035,Peel Common,Gosport,South East,5,186,2.6900,
E00115932,Elson,Gosport,South East,14,202,6.9300,
E00116024,Leesland,Gosport,South East,10,178,5.6200,
E00116090,Town,Gosport,South East,15,219,6.8500,
E00116085,Town,Gosport,South East,14,184,7.6100,
E00115842,Alverstoke,Gosport,South East,11,206,5.3400,
E00116004,Lee West,Gosport,South East,7,178,3.9300,
E00116011,Lee West,Gosport,South East,11,213,5.1600,
E00168135,Lee East,Gosport,South East,18,250,7.2000,
E00115937,Elson,Gosport,South East,18,236,7.6300,
E00115946,Forton,Gosport,South East,11,211,5.2100,
E00116030,Leesland,Gosport,South East,16,259,6.1800,
E00115956,Forton,Gosport,South East,15,265,5.6600,
E00116010,Lee West,Gosport,South East,5,185,2.7000,
E00168126,Hardway,Gosport,South East,18,193,9.3300,
E00116057,Privett,Gosport,South East,22,276,7.9700,
E00116066,Rowner and Holbrook,Gosport,South East,13,216,6.0200,
E00116020,Leesland,Gosport,South East,28,281,9.9600,
E00116073,Rowner and Holbrook,Gosport,South East,8,238,3.3600,
E00115979,Hardway,Gosport,South East,18,314,5.7300,
E00115918,Christchurch,Gosport,South East,26,270,9.6300,
E00115957,Forton,Gosport,South East,16,240,6.6700,
E00116069,Rowner and Holbrook,Gosport,South East,13,204,6.3700,
E00115902,Brockhurst,Gosport,South East,17,220,7.7300,
E00168144,Lee East,Gosport,South East,14,267,5.2400,
E00115943,Forton,Gosport,South East,29,242,11.9800,
E00115841,Alverstoke,Gosport,South East,27,243,11.1100,
E00115921,Christchurch,Gosport,South East,17,159,10.6900,
E00115983,Hardway,Gosport,South East,22,254,8.6600,
E00086075,Copnor,Portsmouth,South East,11,217,5.0700,
E00086543,St Thomas,Portsmouth,South East,7,161,4.3500,
E00086204,Eastney and Craneswater,Portsmouth,South East,5,147,3.4000,
E00086285,Hilsea,Portsmouth,South East,10,238,4.2000,
E00086283,Hilsea,Portsmouth,South East,9,230,3.9100,
E00086028,Charles Dickens,Portsmouth,South East,10,206,4.8500,
E00174448,St Thomas,Portsmouth,South East,5,162,3.0900,
E00086407,Nelson,Portsmouth,South East,17,220,7.7300,
E00086196,Eastney and Craneswater,Portsmouth,South East,3,173,1.7300,
E00086020,Charles Dickens,Portsmouth,South East,17,283,6.0100,
E00086202,Eastney and Craneswater,Portsmouth,South East,7,280,2.5000,
E00086338,Milton,Portsmouth,South East,19,255,7.4500,
E00085950,Baffins,Portsmouth,South East,16,162,9.8800,
E00086464,St Jude,Portsmouth,South East,13,259,5.0200,
E00174433,Milton,Portsmouth,South East,10,156,6.4100,
E00086079,Copnor,Portsmouth,South East,14,266,5.2600,
E00086514,St Thomas,Portsmouth,South East,6,209,2.8700,
E00086390,Nelson,Portsmouth,South East,7,170,4.1200,
E00086348,Milton,Portsmouth,South East,5,186,2.6900,
E00086072,Copnor,Portsmouth,South East,19,225,8.4400,
E00086091,Copnor,Portsmouth,South East,11,213,5.1600,
E00086010,Central Southsea,Portsmouth,South East,11,325,3.3800,
E00086252,Fratton,Portsmouth,South East,9,189,4.7600,
E00086185,Eastney and Craneswater,Portsmouth,South East,18,256,7.0300,
E00086336,Milton,Portsmouth,South East,24,226,10.6200,
E00086254,Fratton,Portsmouth,South East,8,252,3.1700,
E00174445,Charles Dickens,Portsmouth,South East,9,1649,0.5500,
E00086229,Eastney and Craneswater,Portsmouth,South East,6,240,2.5000,
E00086084,Copnor,Portsmouth,South East,13,205,6.3400,
E00086468,St Jude,Portsmouth,South East,8,195,4.1000,
E00086007,Central Southsea,Portsmouth,South East,19,367,5.1800,
E00086046,Charles Dickens,Portsmouth,South East,11,209,5.2600,
E00086534,St Thomas,Portsmouth,South East,1,158,0.6300,
E00086488,St Jude,Portsmouth,South East,12,235,5.1100,
E00174438,Charles Dickens,Portsmouth,South East,3,145,2.0700,
E00086239,Fratton,Portsmouth,South East,16,247,6.4800,
E00086501,St Jude,Portsmouth,South East,20,182,10.9900,
E00086260,Fratton,Portsmouth,South East,10,252,3.9700,
E00086521,St Thomas,Portsmouth,South East,7,304,2.3000,
E00086033,Charles Dickens,Portsmouth,South East,11,255,4.3100,
E00086206,Eastney and Craneswater,Portsmouth,South East,6,189,3.1700,
E00086263,Fratton,Portsmouth,South East,9,223,4.0400,
E00085993,Central Southsea,Portsmouth,South East,17,262,6.4900,
E00086548,St Thomas,Portsmouth,South East,11,201,5.4700,
E00086523,St Thomas,Portsmouth,South East,5,233,2.1500,
E00086337,Milton,Portsmouth,South East,13,201,6.4700,
E00174467,Charles Dickens,Portsmouth,South East,6,207,2.9000,
E00086509,St Thomas,Portsmouth,South East,6,284,2.1100,
E00086314,Hilsea,Portsmouth,South East,11,212,5.1900,
E00086454,Paulsgrove,Portsmouth,South East,3,195,1.5400,
E00086395,Nelson,Portsmouth,South East,8,223,3.5900,
E00174447,Charles Dickens,Portsmouth,South East,6,248,2.4200,
E00086031,Charles Dickens,Portsmouth,South East,15,248,6.0500,
E00086044,Charles Dickens,Portsmouth,South East,8,225,3.5600,
E00086065,Copnor,Portsmouth,South East,10,206,4.8500,
E00086271,Fratton,Portsmouth,South East,14,236,5.9300,
E00086251,Fratton,Portsmouth,South East,12,170,7.0600,
E00086527,St Thomas,Portsmouth,South East,14,289,4.8400,
E00086513,St Thomas,Portsmouth,South East,7,446,1.5700,
E00086095,Copnor,Portsmouth,South East,15,238,6.3000,
E00086537,St Thomas,Portsmouth,South East,7,255,2.7500,
E00086259,Fratton,Portsmouth,South East,20,187,10.7000,
E00086363,Milton,Portsmouth,South East,13,184,7.0700,
E00086014,Charles Dickens,Portsmouth,South East,14,163,8.5900,
E00085919,Baffins,Portsmouth,South East,9,211,4.2700,
E00085998,Central Southsea,Portsmouth,South East,12,275,4.3600,
E00086287,Hilsea,Portsmouth,South East,8,230,3.4800,
E00086093,Copnor,Portsmouth,South East,16,287,5.5700,
E00086339,Milton,Portsmouth,South East,13,201,6.4700,
E00086351,Milton,Portsmouth,South East,30,323,9.2900,
E00086012,Charles Dickens,Portsmouth,South East,5,219,2.2800,
E00086247,Fratton,Portsmouth,South East,15,215,6.9800,
E00086544,St Thomas,Portsmouth,South East,21,259,8.1100,
E00086525,St Thomas,Portsmouth,South East,10,248,4.0300,
E00086042,Charles Dickens,Portsmouth,South East,8,203,3.9400,
E00086391,Nelson,Portsmouth,South East,16,261,6.1300,
E00086026,Charles Dickens,Portsmouth,South East,2,133,1.5000,
E00086399,Nelson,Portsmouth,South East,17,223,7.6200,
E00086318,Hilsea,Portsmouth,South East,1,158,0.6300,
E00086493,St Jude,Portsmouth,South East,15,318,4.7200,
E00085991,Central Southsea,Portsmouth,South East,16,343,4.6600,
E00086538,St Thomas,Portsmouth,South East,3,149,2.0100,
E00086279,Hilsea,Portsmouth,South East,7,264,2.6500,
E00086487,St Jude,Portsmouth,South East,5,107,4.6700,
E00086522,St Thomas,Portsmouth,South East,7,212,3.3000,
E00086497,St Jude,Portsmouth,South East,7,215,3.2600,
E00086056,Charles Dickens,Portsmouth,South East,7,167,4.1900,
E00086188,Eastney and Craneswater,Portsmouth,South East,10,157,6.3700,
E00086205,Eastney and Craneswater,Portsmouth,South East,9,167,5.3900,
E00086519,St Thomas,Portsmouth,South East,7,191,3.6600,
E00086479,St Jude,Portsmouth,South East,10,198,5.0500,
E00086060,Charles Dickens,Portsmouth,South East,16,212,7.5500,
E00086225,Eastney and Craneswater,Portsmouth,South East,13,226,5.7500,
E00086221,Eastney and Craneswater,Portsmouth,South East,4,124,3.2300,
E00086460,St Jude,Portsmouth,South East,12,345,3.4800,
E00086496,St Jude,Portsmouth,South East,12,212,5.6600,
E00085959,Baffins,Portsmouth,South East,6,127,4.7200,
E00086078,Copnor,Portsmouth,South East,12,216,5.5600,
E00086503,St Thomas,Portsmouth,South East,5,331,1.5100,
E00086369,Nelson,Portsmouth,South East,11,187,5.8800,
E00085927,Baffins,Portsmouth,South East,2,164,1.2200,
E00086387,Nelson,Portsmouth,South East,11,226,4.8700,
E00086484,St Jude,Portsmouth,South East,16,313,5.1100,
E00086542,St Thomas,Portsmouth,South East,8,254,3.1500,
E00086471,St Jude,Portsmouth,South East,13,252,5.1600,
E00086189,Eastney and Craneswater,Portsmouth,South East,15,240,6.2500,
E00174450,St Thomas,Portsmouth,South East,5,155,3.2300,
E00086530,St Thomas,Portsmouth,South East,5,255,1.9600,
E00086511,St Thomas,Portsmouth,South East,16,380,4.2100,
E00086350,Milton,Portsmouth,South East,7,130,5.3800,
E00086281,Hilsea,Portsmouth,South East,16,274,5.8400,
E00086200,Eastney and Craneswater,Portsmouth,South East,14,214,6.5400,
E00085957,Baffins,Portsmouth,South East,11,209,5.2600,
E00086405,Nelson,Portsmouth,South East,3,138,2.1700,
E00086246,Fratton,Portsmouth,South East,11,239,4.6000,
